#  step      rmse_trn    rmse_e_trn    rmse_f_trn         lr
 366000      8.75e-02      1.46e-04      8.23e-03    1.1e-04
 368000      8.82e-02      5.19e-04      8.18e-03    1.1e-04
 370000      1.15e-01      9.04e-04      1.05e-02    1.1e-04
 372000      8.81e-02      2.01e-04      8.28e-03    1.1e-04
 374000      1.07e-01      4.51e-04      1.04e-02    1.0e-04
 376000      9.21e-02      3.08e-04      8.92e-03    1.0e-04
 378000      8.89e-02      8.73e-04      8.26e-03    1.0e-04
 380000      8.71e-02      1.12e-03      7.82e-03    1.0e-04
 382000      8.60e-02      5.81e-04      8.19e-03    1.0e-04
 384000      1.03e-01      3.31e-04      1.00e-02    1.0e-04
 386000      9.79e-02      8.14e-04      9.61e-03    9.8e-05
 388000      1.72e-01      3.02e-04      1.72e-02    9.8e-05
 390000      1.02e-01      1.13e-04      1.02e-02    9.8e-05
 392000      8.25e-02      7.01e-05      8.30e-03    9.8e-05
 394000      1.40e-01      1.36e-04      1.41e-02    9.8e-05
 396000      7.88e-02      2.54e-06      8.19e-03    9.2e-05
 398000      1.05e-01      1.30e-03      1.01e-02    9.2e-05
 400000      8.58e-02      1.55e-04      8.91e-03    9.2e-05
 402000      8.42e-02      4.42e-04      8.64e-03    9.2e-05
 404000      7.76e-02      1.63e-04      8.05e-03    9.2e-05
 406000      1.03e-01      3.23e-04      1.06e-02    9.2e-05
 408000      9.22e-02      9.42e-04      9.54e-03    8.6e-05
 410000      7.88e-02      7.88e-04      8.06e-03    8.6e-05
 412000      8.06e-02      5.57e-04      8.46e-03    8.6e-05
 414000      1.33e-01      8.25e-04      1.41e-02    8.6e-05
 416000      7.86e-02      5.43e-04      8.26e-03    8.6e-05
 418000      8.86e-02      2.05e-04      9.82e-03    8.0e-05
 420000      7.63e-02      1.63e-04      8.45e-03    8.0e-05
 422000      9.41e-02      6.53e-04      1.03e-02    8.0e-05
 424000      1.03e-01      5.33e-04      1.12e-02    8.0e-05
 426000      7.19e-02      2.77e-04      7.93e-03    8.0e-05
 428000      9.11e-02      1.96e-04      1.01e-02    8.0e-05
